"Date" "Hydraulic" "Wind" "Solar_Photovoltaic" "Solar_Thermal" "Other_Renewables" "Pumping_Turbine" "Nuclear" "Combined_cycle" "Coal" "Diesel_Engine" "Gas_Turbine" "Steam_Turbine" "Cogeneration" "Consumption" "Electricity" "Gas_Price" "CO2_Price" "Balance_France" "Balance_Portugal" "Balance_Morocco"
"1" "2014-01-01T00:00:00+01:00" 73065.052 257896.205 7631.801 519.532 11897.24 6970.16 146015.503 53534.6 25240.655 8388.976 1481.931 6117.065 54043.077 23021.076 25.842 NA 4.84 17277 -13916.1 17060
"2" "2014-01-02T00:00:00+01:00" 89171.545 270764.404 3836.442 177.784 11564.649 23682.079 146147.546 52322.227 37546.113 8659.002 2325.496 7586.721 79006.632 28191.597 44.269 NA 4.72 10618 -30223.4 16330
"3" "2014-01-03T00:00:00+01:00" 102502.527 248822.078 8673.179 1157.242 11891.476 23882.275 146198.074 51254.562 42672.054 8734.932 2196.861 8043.085 85658.228 28465.181 55.279 NA 4.68 -8176 -17053.4 17130
"4" "2014-01-04T00:00:00+01:00" 106840.706 315077.619 8813.196 478.934 12103.26 8520.894 146270.916 32862.777 30782.043 8427.393 1620.337 6875.346 65312.961 26860.493 19.57 NA 4.68 23257 -30839.7 17270
"5" "2014-01-05T00:00:00+01:00" 117217.635 260674.588 10878.603 2137.221 11775.113 17345.744 121525.188 41422.898 24606.925 8346.54 1564.459 6511.197 64800.182 25333.597 19.54 NA 4.68 24689 -24172.8 14050
"6" "2014-01-06T00:00:00+01:00" 110841.694 200748.21 14575.066 3387.373 11760.383 12002.167 138871.873 44002.059 24126.403 8373.682 1392.053 6032.249 72983.825 23905.542 31.71 NA 4.63 19904 -27611.3 15770
"7" "2014-01-07T00:00:00+01:00" 137057.77 164116.648 15038.529 4952.227 11433.295 14969.236 146590.231 61452.9 88419.072 9071.864 2101.435 7522.42 87134.418 29859.201 63.039 NA 4.67 -4362 -34147.6 15050
"8" "2014-01-08T00:00:00+01:00" 140921.275 172744.174 16509.065 5368.879 12135.745 13548.455 146607.037 50235.866 121447.736 8880.172 2354.029 7412.564 92107.381 30573.444 54.918 NA 4.58 5999 -43610.9 13390
"9" "2014-01-09T00:00:00+01:00" 145404.939 87870.355 13483.75 3597.518 12587.381 18947.146 146601.481 67803.967 163968.872 9236.782 2648.73 7573.813 93641.83 30887.75 62.11 NA 4.49 -14014 -25522.6 14300
"10" "2014-01-10T00:00:00+01:00" 146323.349 74146.856 9637.23 767.653 12718.091 18990.914 146618.268 78567.867 180354.934 8823.617 2078.668 7488.439 94233.297 30847.819 70.244 NA 4.51 -16917 -6056.3 16960
"11" "2014-01-11T00:00:00+01:00" 148799.593 28923.318 11343.641 3437.767 12892.435 13138.34 146659.705 59293.168 176164.609 8470.519 2174.616 6969.413 75044.951 27854.056 61.292 NA 4.51 -18352 -24611.1 15170
"12" "2014-01-12T00:00:00+01:00" 127057.432 142409.789 11090.636 1252.3 13067.05 12486.473 146617.966 37154.746 90047.088 8751.235 1259.437 6341.824 71351.372 25978.903 48.347 NA 4.51 -10633 -28343.4 11860
"13" "2014-01-13T00:00:00+01:00" 146286.975 218591.859 8208.454 1158.206 12809.026 17112.838 146536.943 59456.535 79545.577 8961.305 1717.139 7249.543 88853.206 31149.771 54.065 NA 4.6 12085 -29839.8 13150
"14" "2014-01-14T00:00:00+01:00" 134555.725 289846.808 7283.451 405.388 12362.41 12181.095 146393.731 46121.797 70246.43 8869.375 1563.808 7241.835 89119.48 31835.132 47.577 NA 4.8 12954 -24011.2 11400
"15" "2014-01-15T00:00:00+01:00" 142618.91 195016.398 6902.819 823.343 12428.729 15170.901 146442.99 67316.523 90809.471 8961.682 2068.971 7689.113 92040.111 31586.583 63.265 NA 4.81 -675 -34652.1 8510
"16" "2014-01-16T00:00:00+01:00" 140457.456 218889.297 7648.331 329.909 12676.106 11263.2 146303.895 62433.983 87311.913 9062.133 2077.099 7691.602 91822.349 31591.076 55.321 NA 5.06 -1403 -33258.6 15500
"17" "2014-01-17T00:00:00+01:00" 141433.915 211964.124 11945.32 668.139 12849.726 10146.678 146092.925 62244.389 87312.967 8975.572 1626.589 7681.737 92542.349 31397.674 54.386 NA 5.06 -3334 -28520.9 16050.2
"18" "2014-01-18T00:00:00+01:00" 146938.396 142684.56 9120.161 391.558 12987.735 10425.769 145939.539 49935.804 83747.615 8800.065 1109.903 7328.771 73859.535 28335.396 53.763 NA 5.06 -22398 -33322.1 14270
"19" "2014-01-19T00:00:00+01:00" 127720.689 177407.217 11021.692 2588.328 12315.715 12001.525 137185.067 50534.291 42537.851 8630.502 1027.194 6865.07 71862.903 26466.882 46.119 NA 5.06 -6849 -44825.4 8247.8
"20" "2014-01-20T00:00:00+01:00" 144555.38 249820.168 17317.75 4470.638 11659.73 13572.398 143881.363 66195.412 73460.842 9345.619 1557.754 7342.984 88772.923 31667.132 51.956 NA 4.9 15391 -10653.9 14990
"21" "2014-01-21T00:00:00+01:00" 155319.027 189593.033 10746.462 873.445 12012.489 12251.942 145898.402 85020.088 113044.953 9421.176 1596.454 7575.441 90927.369 32632.257 62.616 NA 5.02 15432 -26574.3 16830
"22" "2014-01-22T00:00:00+01:00" 153675.451 180195.945 10110.534 807.857 11904.225 11545.977 145933.913 91434.886 118659.309 9149.689 1984.666 7649.731 90803.729 32458.792 59.253 NA 5.09 18011 -30830.9 16150
"23" "2014-01-23T00:00:00+01:00" 154527.977 200523.24 20917.216 7907.727 12237.642 7064.865 146006.682 71019.965 105694.654 8980.364 1506.232 6995.183 90330.182 31956.771 56.438 NA 5.01 19784 -22746.1 15492.9
"24" "2014-01-24T00:00:00+01:00" 144196.431 264254.203 17907.167 6467.507 12887.098 11303.795 146001.663 57360.74 77994.916 8835.962 2488.079 6184.047 91445.532 31745.014 53.271 NA 5.24 22706 -16791.2 14750
"25" "2014-01-25T00:00:00+01:00" 139108.466 271953.251 16660.713 5599.211 13146.385 13837.899 146106.692 36819.803 30822.089 8913.893 1225.162 5480.738 70834.397 28015.451 32.186 NA 5.24 13826 -11189.9 16590
"26" "2014-01-26T00:00:00+01:00" 132468.684 239184.746 18287.051 4737.478 12848.496 13224.832 150204.298 41157.365 21755.844 8587.129 1070.167 4802.717 66854.591 25626.278 37.631 NA 5.24 10633 4239.2 12440
"27" "2014-01-27T00:00:00+01:00" 134185.017 329180.294 16418.597 2277.655 12267.531 18613.625 157814.667 45272.89 27476.448 9112.699 1586.942 6437.366 81659.366 30670.16 30.43 NA 5.38 24600 -2837.5 15620
"28" "2014-01-28T00:00:00+01:00" 150887.59 329041.904 11395.691 1785.744 12312.629 21311.453 164368.976 31543.84 29039.468 8973.16 2135.645 6227.158 82936.736 32244.847 18.294 NA 5.51 24600 -18556.6 16924.6
"29" "2014-01-29T00:00:00+01:00" 174746.231 197855.936 12132.648 1754.189 11988.802 20065.004 147981.77 103908.437 47871.974 9422.053 1603.816 7322.118 85900.349 32012.576 46.228 NA 5.48 24120 -35419.2 15480
"30" "2014-01-30T00:00:00+01:00" 169006.172 246511.195 20823.57 8353.415 11383.619 11504.605 146133.597 62906.062 47706.687 9056.222 1867.052 7248.964 86471.583 32095.861 42.293 NA 5.68 23854 -29286.7 15980
"31" "2014-01-31T00:00:00+01:00" 183500.815 194253.26 11159.963 1166.488 11991.376 16596.36 146111.878 89398.126 52744.01 9134.671 1866.761 7209.253 88107.577 31796.118 52.575 NA 5.49 21584 -35627.8 16093.1
"32" "2014-02-01T00:00:00+01:00" 161849.275 287870.06 12262.597 1642.332 10769.767 8404.084 146035.108 35667.05 19024.603 9420.128 1654.347 6777.778 66972.26 28507.097 21.92 NA 5.49 23486 -31994.1 17050
"33" "2014-02-02T00:00:00+01:00" 177293.355 165998.945 22786.247 8091.345 10769.245 10477.384 147240.146 63177.557 24512.444 9114.492 1559.094 6241.169 69097.578 26298.229 38.738 NA 5.49 20188 -10762.5 13115.1
"34" "2014-02-03T00:00:00+01:00" 188258.226 225646.442 11120.897 1586.954 11885.545 15034.637 158711.004 75416.051 36565.139 9632.39 1865.361 6408.161 85996.966 32316.799 41.423 NA 5.81 24598 -35594.9 16060
"35" "2014-02-04T00:00:00+01:00" 194357.593 248619.087 11883.014 612.631 12002.309 14104.633 169245.619 65526.283 31724.078 9741.801 3007.733 5992.876 84395.248 32881.361 39.85 NA 5.82 24600 -30801.6 17490
"36" "2014-02-05T00:00:00+01:00" 164878.127 317551.898 11845.261 295.286 11938.248 8727.403 170504.344 49831.451 29911.55 9425.328 2505.253 6952.733 81799.786 32342.819 27.346 NA 6.02 23991 -25378.7 18070
