"Date" "Electricity" "Hydraulic" "Pumping_Turbine" "Nuclear" "Coal" "Combined_cycle" "Wind" "Solar_Photovoltaic" "Solar_Thermal" "Other_Renewables" "Cogeneration" "Consumption" "Gas_Price" "CO2_Price" "Installed_Power_Hydraulic" "Installed_Power_Nuclear" "Installed_Power_Coal" "Installed_Power_Combined_Cycle" "Installed_Power_Eolic" "Installed_Power_Solar_Photov" "Installed_Power_Solar_Thermal" "Installed_Power_Other_Renewables" "Installed_Power_Cogeneration" "Balance_France" "Balance_Portugal" "Balance_Morocco"
"1" 2000 30.57 27893.97 3434.825 59530.32 72228.171 NA 4462.501 22.525 NA 791.591 16085.806 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" 2001 30.13 40392.124 2891.89 60985.213 64448.904 NA 6594.161 23.175 NA 853.568 15846.919 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" 2002 37.4 21225.351 4869.687 60288.447 74555.691 5155.673 9259.312 4.562 NA 901.086 18679.877 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" 2003 28.96 40097.044 3274.707 59219.59 68293.166 14626.086 11720.263 8.933 NA 1187.348 20439.436 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" 2004 27.94 30870.071 3223.306 60875.742 72120.106 28312.845 15754.141 17.822 NA 1288.462 21382.009 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" 2005 53.68 18248.226 4449.875 54901.833 72994.089 47846.789 20857.677 40.108 NA 1456.255 20863.071 NA NA NA 145915.32 68993.76 100074.24 107117.28 85339.92 NA NA NA NA NA NA NA
"7" 2006 50.53 25374.995 3743.875 57353.706 62126.065 62122.434 22880.875 102.397 NA 1624.896 20195.695 NA NA NA 145915.32 67592.16 100074.24 135815.04 101397 NA NA NA NA NA NA NA
"8" 2007 39.35 27104.331 3102.613 52638.927 67686.248 66572.868 27249.169 462.608 7.627 1709.965 20917.756 NA NA NA 145915.32 67592.16 99478.56 183627.12 129884.52 NA NA NA NA NA NA NA
"9" 2008 64.43 22933.811 2661.765 56460.291 43409.537 89100.732 31757.876 2406.108 15.378 1861.155 24216.476 NA NA 22.02 145915.32 67592.16 99504.84 189890.52 141798.12 NA NA NA NA NA NA NA
"10" 2009 36.96 26186.01 2655.946 50549.445 31622.562 76379.284 37888.587 5829.039 129.824 2243.39 25994.385 NA NA 13.06 145915.32 67592.16 99504.84 202058.16 163978.44 NA NA NA NA NA NA NA
"11" 2010 37.01 41833.806 3120.458 59242.322 20599.255 62954.939 43208.416 6139.801 691.621 2298.487 28101.238 NA NA 14.32 149848.56 65831.4 95256.24 217633.44 171354.36 31930.2 4660.32 6824.04 62178.48 NA NA NA
"12" 2011 49.93 30435.663369 2183.536285 55005.874867 40412.479848 49193.213946 42115.787093 7105.870802 1861.641549 3705.130529 30555.110684 NA NA 12.89 149953.68 66335.8008 97262.28 218229.12 184117.68 35320.32 8751.24 7735.08 62888.04 NA NA NA
"13" 2012 47.23 20651.797509 3201.8898 58595.438799 51097.323936 37316.789671 48156.257947 7830.069376 3447.493612 3782.463142 32417.788433 NA NA 7.33 151880.88 66335.8008 92812.2 218541.8082 198054.84 37615.44 17082 8479.68 62344.92 NA NA NA
"14" 2013 44.26 37382.405553 3289.677185 54210.788119 37090.897312 24126.557305 54344.500782 7918.376104 4441.527535 4325.277158 30809.943767 26980.778 NA 4.45 151907.16 66335.8008 92943.6 218541.8082 200192.28 38517.72 20139.24 8269.44 61828.08 NA NA NA
"15" 2014 43.3391666666667 39181.985228 3415.996048 54781.281335 43246.056497 24828.833997 51032.030848 8207.926131 4958.914926 3816.315717 24153.243882 27766.333 NA 5.96 151959.72 66335.8008 91699.68 218541.8082 200349.96 38570.28 20139.24 8602.32 61740.48 -3499263.89 1788801.89 5793349.73
"16" 2015 51.5158333333333 28382.579975 2895.3658 54661.803305 52616.477598 29027.289335 48117.887516 8243.560905 5085.235514 3432.591921 25200.877766 28348.398 NA 7.68 149278.81836 66335.8008 91927.5714 218541.8082 199393.60452 38847.86688 20183.15388 7720.33692 54300.42804 -7246424.6 2493267.22 4900811.53
"17" 2016 40.5625 36114.888195 3134.329059 56021.682059 37313.777751 29006.482094 47696.660309 7977.467185 5071.201702 3425.664828 25908.643559 28496.307 17.0122939185781 5.35 149340.40116 66335.8008 83762.1126 218541.8082 199844.17512 38886.90144 20183.15388 7743.3144 52356.5052 -7743092.18 -5038951.19 4932032.64
"18" 2017 53.175 18450.618742 2248.964443 55539.351046 45019.420393 37065.787083 47906.955561 8397.752693 5347.952465 3610.347882 28211.806703 28848.386 21.16715 5.83 149377.3158 62347.4604 83762.1126 218541.8082 200180.19996 38912.03388 20183.15388 7714.91448 50904.76296 -12278104.75 -2615044.3 5703982.5
"19" 2018 58.1575 34117.241349 1993.99601 53197.61743 37276.805716 30044.467195 49581.488866 7766.178425 4424.326674 3557.43911 29006.75724 29056.189 24.42102 15.88 149470.64484 62347.4604 83762.1126 215161.7622 201530.72916 39599.2734 20183.15388 7757.77716 50793.02916 -11980204.35 -2607869 3363596.93
"20" 2019 48.4316666666667 24719.015198 1645.505104 55824.226775 12670.637398 55241.970218 54245.055899 9252.018881 5166.431145 3617.7139 29615.085005 28527.412 15.6062538835785 24.84 149770.12296 62347.4604 80723.7942 215161.7622 221139.13944 74418.4338 20183.15388 9073.74816 49713.01752 -9521912.13 3399103.4 -778968.77
"21" 2020 34.6591666666667 30631.723596 2751.440465 55758.359857 5020.712578 44022.85539 54906.246258 15302.144732 4538.31013 4481.581196 27030.313333 27078.243 10.3720083872486 24.75 149769.20316 62347.4604 48110.139 215161.7622 237635.62104 99993.61296 20183.15388 9510.24144 49573.5846 -5148735.53 1498274.23 295238.74
"22" 2021 113.280833333333 29626.009059 2649.324261 54041.019731 4983.148013 44500.099332 60525.656892 20981.043298 4705.524869 4719.873222 26090.493238 27838.078 47.3959864151039 53.55 149731.2198 62347.4604 30860.823 215161.7622 245545.98864 130999.12488 20183.15388 9521.7696 49128.45396 -5560313.16 4775535.91 -182644.3
"23" 2022 169.638333333333 17863.039859 3775.566857 55983.500263 7765.205005 68137.547157 61175.592274 27864.341912 4123.275375 4656.293982 17757.670231 26876.413 100.768249685179 80.87 149731.2198 62347.4604 28234.9254 215161.7622 257692.47324 169489.59252 20183.15388 9525.186 48994.52232 8845354.42 9261467.15 1435341.92
