"Date" "Hydraulic" "Pumping_Turbine" "Nuclear" "Coal" "Combined_cycle" "Wind" "Solar_Photovoltaic" "Solar_Thermal" "Other_Renewables" "Cogeneration" "Electricity" "Consumption" "Gas_Price" "CO2_Price" "Balance_France" "Balance_Portugal" "Balance_Morocco"
"1" "01/2010" 5178.649 529.612 4480.61 1696.094 5308.095 4292.094 248.575 13.152 169.913 2403.165 29.058 NA NA 12.98 NA NA NA
"2" "02/2010" 4067.306 388.305 4635.983 1367.276 4758.78 4622.433 289.953 11.682 155.72 2249.142 27.683 NA NA 12.87 NA NA NA
"3" "03/2010" 5816.541 381.267 4877.965 844.196 4086.589 4546.551 458.218 23.732 161.938 2428.205 19.621 NA NA 12.87 NA NA NA
"4" "04/2010" 4720.054 212.213 4894.268 633.698 4360.616 2634.821 565.842 36.92 178.892 2327.173 27.421 NA NA 14.23 NA NA NA
"5" "05/2010" 3862.881 195.968 4417.869 823.906 4552.942 3619.337 683.249 69.084 198.993 2382 37.285 NA NA 15.28 NA NA NA
"6" "06/2010" 3555.038 161.109 4693.97 1322.563 5475.442 2576.198 656.768 72.533 204.01 2323.371 40.121 NA NA 15.32 NA NA NA
"7" "07/2010" 2896.777 139.417 5399.984 2450.416 6782.456 2798.134 752.891 104.591 202.731 2382.031 42.913 NA NA 14.22 NA NA NA
"8" "08/2010" 2036.831 161.802 5421.255 2835.734 5736.69 2894.747 691.529 121.899 206.184 1942.733 42.942 NA NA 14.61 NA NA NA
"9" "09/2010" 1530.458 163.587 5066.819 2971.126 6235.23 2301.323 605.391 100.917 192.864 2311.762 46.442 NA NA 15.3 NA NA NA
"10" "10/2010" 1601.507 242.282 5429.769 1987.136 5277.748 3952.834 525.856 71.745 205.105 2426.733 42.631 NA NA 15.23 NA NA NA
"11" "11/2010" 2611.521 225.558 5094.619 1627.231 5529.094 4348.06 364.056 31.619 198.781 2412.111 40.934 NA NA 14.76 NA NA NA
"12" "12/2010" 3956.243 319.338 4829.211 2039.879 4851.257 4621.884 297.473 33.747 223.356 2512.812 46.345 NA NA 14.15 NA NA NA
"13" "01/2011" 5119.514288 283.944912 4706.500878 2032.048613 5010.424401 4021.664377 330.686007 39.74313 308.732944 2637.924793 41.189 NA NA 14.06 NA NA NA
"14" "02/2011" 2998.053057 172.144394 4266.689754 2457.403854 4611.37756 4028.617282 481.491656 88.657368 287.459689 2468.567039 48.034 NA NA 14.37 NA NA NA
"15" "03/2011" 3910.363465 234.348131 4324.231209 2974.465019 3920.587087 4692.967394 508.851028 98.457167 303.472871 2765.528159 46.697 NA NA 15.57 NA NA NA
"16" "04/2011" 3537.700441 201.526874 4450.077308 2432.419513 2762.083208 3399.8872 631.956214 137.835121 300.471926 2555.169463 45.45 NA NA 16.29 NA NA NA
"17" "05/2011" 2797.337296 111.13143 3611.779417 2948.423502 4128.731523 3166.012039 716.837677 160.440925 310.707484 2602.254191 48.9 NA NA 16.35 NA NA NA
"18" "06/2011" 2070.176468 97.401734 4695.257446 2720.703328 4823.538519 2937.49434 778.343553 247.970979 276.438021 2487.024779 49.997 NA NA 15.07 NA NA NA
"19" "07/2011" 1661.68136 102.439086 4817.469682 4180.843146 4491.707078 3254.704718 825.352516 284.059974 310.760034 2498.465439 50.816 NA NA 12.47 NA NA NA
"20" "08/2011" 1520.767479 120.019742 5271.690542 4063.69502 4664.710874 2730.852573 772.150481 235.329098 314.338587 2077.342587 53.533 NA NA 12.07 NA NA NA
"21" "09/2011" 1221.392505 138.437166 4981.741631 4662.402343 4452.029875 2322.956455 705.196098 228.558024 329.797294 2506.048016 58.47 NA NA 11.62 NA NA NA
"22" "10/2011" 1250.041944 216.207316 4490.637988 4277.939237 3691.328391 3152.198095 603.445746 172.949739 323.886182 2619.646699 57.458 NA NA 10.2 NA NA NA
"23" "11/2011" 2163.124725 224.261368 4538.88147 3876.807976 3327.959068 3819.856832 345.878021 81.173647 314.523187 2629.900136 48.378 NA NA 9.15 NA NA NA
"24" "12/2011" 2185.510341 281.674132 4850.917542 3785.328297 3308.736362 4588.575788 405.681805 86.466377 324.54231 2707.239383 50.067 NA NA 7.34 NA NA NA
